Epoch,Loss,Accuracy
1,18.706996875201582,0.9693620768149367
2,3.754748097313892,0.9744465332080076
3,1.9259537294679818,0.9743814133978757
4,1.5451416495687589,0.9745451635810805
5,1.3024423768644107,0.9745791961583673
6,1.1994443234490269,0.9745306367340817
7,1.1010876921808306,0.9745647524435828
8,1.0438828682254389,0.97455983363161
9,0.9971494053622625,0.9744771694405976
10,0.9741835393739761,0.9745230258221365
11,0.9766116968295905,0.9744426671998401
12,0.9399589502321035,0.9746272089929893
13,0.8574679180082861,0.9744572988431042
14,0.8430884371288964,0.9745216238525226
15,0.841408800841826,0.9745553433778906
16,0.8309682883046596,0.9745084705082305
17,0.812138455676677,0.9745333193241573
18,0.8145955710500594,0.9745587955594263
